setup_id,symbol,entry_time,side,exit_reason,net_r,bars_held,mfe_r,mae_r,atr,adx,bias_direction,bias_strength,state_confirmations,trigger_pattern,entry_price,stop_price,target_price
b00d6b1c-8e3,POWERGRID.NS,"2026-04-08 12:15:00",SELL,eod,-0.42,11,0.67,-0.2,1.28,31.2,short,2,3,bearish_engulfing,295.3,297.85,291.47
48a93814-80a,HDFCLIFE.NS,"2026-04-27 09:30:00",BUY,eod,-0.44,22,1.22,-0.2,2.94,34.2,long,2,4,hammer,596.1,590.21,604.93
60955502-96a,RELIANCE.NS,"2026-04-28 14:15:00",BUY,eod,-0.44,3,0.72,0.0,6.1,33.7,long,1,3,bullish_engulfing,1384.9,1372.69,1403.21
7d53af8c-802,TATASTEEL.NS,"2026-04-06 09:15:00",BUY,gap_stop,-0.47,1,1.02,-0.13,1.31,27.4,long,2,3,hammer,192.53,189.91,196.45
314e056a-2c9,DLF.NS,"2026-04-21 12:00:00",BUY,eod,-0.47,12,0.19,-0.23,3.88,20.2,long,2,3,hammer,607.5,599.73,619.15
8ce45f3e-a9f,INFY.NS,"2026-04-27 14:15:00",SELL,eod,-0.48,3,0.4,-0.57,3.97,20.3,short,1,3,shooting_star,1172.2,1180.14,1160.29
bf899fa7-1eb,VEDL.NS,"2026-03-11 13:30:00",SELL,eod,-0.49,6,0.07,-0.49,4.2,25.7,short,2,3,bearish_engulfing,721.65,730.04,709.06
3952a2d4-b69,RELIANCE.NS,"2026-04-10 14:45:00",BUY,eod,-0.49,1,0.68,-0.05,3.68,33.0,long,1,4,hammer,1347.2,1339.84,1358.25
4aa2f04e-0b1,INFY.NS,"2026-03-11 14:30:00",SELL,eod,-0.51,2,0.54,-0.15,3.79,35.1,short,1,3,bearish_engulfing,1279.4,1286.98,1268.03
d62e93ad-01d,SBIN.NS,"2026-03-19 12:30:00",SELL,eod,-0.51,10,0.95,-0.44,4.63,31.1,short,2,3,shooting_star,1049.8,1059.05,1035.92
2759826e-b55,INDHOTEL.NS,"2026-04-16 14:30:00",BUY,eod,-0.52,1,0.25,-0.17,2.51,23.4,long,2,3,bullish_engulfing,651.45,646.44,658.97
cf50de14-0c3,COALINDIA.NS,"2026-04-16 10:15:00",SELL,eod,-0.54,19,1.4,-0.11,1.14,32.6,short,2,3,shooting_star,433.7,435.98,430.28
040fca56-58e,RELIANCE.NS,"2026-04-24 13:45:00",SELL,eod,-0.54,5,0.58,-0.07,3.71,42.1,short,1,3,shooting_star,1329.8,1337.23,1318.66
0a1775aa-7ea,ONGC.NS,"2026-04-07 14:15:00",BUY,eod,-0.55,3,0.53,-0.27,1.19,29.2,long,2,3,hammer,286.25,283.88,289.81
037a2ce0-493,ITC.NS,"2026-04-30 14:45:00",SELL,eod,-0.55,1,0.5,-0.09,0.84,24.4,short,2,3,bearish_engulfing,315.1,316.79,312.57
16ad214e-a7d,NYKAA.NS,"2026-03-16 10:00:00",SELL,trail_stop,-0.56,17,1.23,-0.09,1.67,36.1,short,1,3,bearish_engulfing,237.55,240.9,232.53
4db3d927-8bf,TATASTEEL.NS,"2026-03-18 14:45:00",BUY,eod,-0.56,1,0.2,-0.37,0.71,30.0,long,1,3,bullish_engulfing,195.57,194.15,197.7
714101f5-b25,DELHIVERY.NS,"2026-04-21 10:00:00",BUY,trail_stop,-0.56,8,1.08,-0.1,3.37,29.4,long,2,3,bullish_engulfing,470.85,464.11,480.96
b81cf831-47a,PNB.NS,"2026-03-10 14:30:00",BUY,eod,-0.57,2,0.21,-0.22,0.57,35.3,long,2,3,hammer,117.36,116.22,119.07
1bde2e38-e69,TECHM.NS,"2026-03-24 14:45:00",BUY,eod,-0.57,1,0.61,-0.11,7.01,24.2,long,1,3,bullish_engulfing,1430.5,1416.48,1451.53
63d1486d-b00,RELIANCE.NS,"2026-03-17 13:00:00",BUY,eod,-0.58,8,0.53,-0.41,5.43,20.1,long,1,4,hammer,1400.1,1389.24,1416.39
4022da99-5ec,M&M.NS,"2026-04-09 09:30:00",SELL,eod,-0.58,17,0.95,-0.95,18.13,41.8,short,2,4,bearish_engulfing,3165.4,3201.67,3111.0
